Num,Names,Native,NonNative,PR_endemic,FLEPPCall_2017,Names,Range,,Florida,US,Caribbean,Central America ,South America,Europe ,Africa,Asia ,Australasia,Oceania,sum,Range info from where?
202,Abildgaardia_ovata,1,0,0,0,Abildgaardia ovata,Fla.; Mexico; West Indies; Bermuda; Central America; South America; Eurasia; Africa; Indian Ocean Islands; Pacific Islands; Australia.,,1,0,1,1,1,1,1,1,1,1,8,"efloras.org (Flora of China, Flora of North America)"
17,Abrus_precatorius,0,1,0,1,Abrus precatorius,"China, widespread in the tropics].",,1,0,0,0,0,0,0,1,0,0,1,"efloras.org (Flora of China, Flora of North America)"
42,Acacia_auriculformis,0,1,0,1,Acacia auriculformis,"Australia, Indonesia, Papua New Guinea",,1,0,0,0,0,0,0,0,1,0,1,https://plants.ifas.ufl.edu/plant-directory/acacia-auriculiformis/
232,Acalypha_chamaedrifolia,1,0,0,0,Acalypha chamaedrifolia,Fla.; West Indies.,,1,0,1,0,0,0,0,0,0,0,1,"efloras.org (Flora of China, Flora of North America)"
332,Aeschynomene_viscidula,1,0,0,0,Aeschynomene viscidula,Continental US,,1,1,0,0,0,0,0,0,0,0,1,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=25366#null
324,Agalinis_fasciculata,1,0,0,0,Agalinis fasciculata,"Continental US, Caribbean",,1,1,1,0,0,0,0,0,0,0,2,https://plants.usda.gov/core/profile?symbol=AGFA2
301,Agalinis_obtusifolia,1,0,0,0,Agalinis obtusifolia,Continental US,,1,1,0,0,0,0,0,0,0,0,1,http://explorer.natureserve.org/servlet/NatureServe?searchName=Agalinis+obtusifolia
23,Agave_sisalana,0,1,0,1,Agave sisalana,Fla.; s Mexico.,,1,0,0,1,0,0,0,0,0,0,1,"efloras.org (Flora of China, Flora of North America)"
32,Albizia_lebbeck,0,1,0,1,Albizia lebbeck,"Tropical Asia, northern Australia; ",,1,0,0,0,0,0,0,1,1,0,2,http://plants.ifas.ufl.edu/plant-directory/albizia-lebbeck/#1
124,Aletris_lutea,1,0,0,0,Aletris lutea,"Ala., Fla., Ga., La., Miss.",,1,1,0,0,0,0,0,0,0,0,1,"efloras.org (Flora of China, Flora of North America)"
219,Alternathera_flavescens,1,0,0,0,Alternathera flavescens,Fla.; Mexico; West Indies; South America.,,1,0,1,1,1,0,0,0,0,0,3,"efloras.org (Flora of China, Flora of North America)"
250,Alvaradoa_amorphoides,1,0,0,0,Alvaradoa amorphoides,"Florida, Mexico, West Indies, Central America.",,1,0,1,1,0,0,0,0,0,0,2,"efloras.org (Flora of China, Flora of North America)"
166,Alysicarpus_vaginalis,0,1,0,0,Alysicarpus vaginalis,"China, [Cambodia, India, Indonesia, Japan, Laos, Malaysia, Nepal, Philippines, Sri Lanka, Thailand, Vietnam; E and W Africa, throughout Old World tropics; introduced in the Neotropics].",,1,0,0,0,0,0,1,1,1,1,4,"efloras.org (Flora of China, Flora of North America)"
151,Ambrosia_artemisiifolia,1,0,0,0,Ambrosia artemisiifolia,"Alta., B.C., Man., N.B., Nfld. and Labr. (Nfld.), N.W.T., N.S., Ont., P.E.I., Que., Sask.; Ala., Alaska, Ariz., Ark., Calif., Colo., Conn., Del., D.C., Fla., Ga., Idaho, Ill., Ind., Iowa, Kans., Ky., La., Maine, Md., Mass., Mich., Minn., Miss., Mo., Mont., Nebr., Nev., N.H., N.J., N.Mex., N.Y., N.C., N.Dak., Ohio, Okla., Oreg., Pa., R.I., S.C., S.Dak., Tenn., Tex., Utah, Vt., Va., Wash., W.Va., Wis., Wyo",,1,1,0,0,0,0,0,0,0,0,1,"efloras.org (Flora of China, Flora of North America)"
529,Amorpha_herbacea_v._crenulata,1,0,1,0,Amorpha herbacea v. crenulata,PR_endemic,,1,0,0,0,0,0,0,0,0,0,0,IRC
329,Ampelopsis_arborea,1,0,0,0,Ampelopsis arborea,Continental US,,1,1,0,0,0,0,0,0,0,0,1,https://www.cabi.org/isc/datasheet/4814
327,Andropogon_glomeratus,1,0,0,0,Andropogon glomeratus,"southeastern USA, Mexico and parts of Central America, South America and the Caribbean.",,1,1,1,1,1,0,0,0,0,0,4,https://www.cabi.org/isc/datasheet/118977
335,Andropogon_gyrans,1,0,0,0,Andropogon gyrans,"North America: north-central USA, northeast USA, south-central USA, southeast USA, and Mexico. South America: Mesoamericana and Caribbean.",,1,1,1,1,1,0,0,0,0,0,4,https://www.kew.org/data/grasses-db/www/imp00477.htm
337,Andropogon_longiberbis,1,0,0,0,Andropogon longiberbis,North America: southeast USA.,,1,1,0,0,0,0,0,0,0,0,1,https://www.kew.org/data/grasses-db/www/imp00501.htm
336,Andropogon_ternarius,1,0,0,0,Andropogon ternarius,"North America: north-central USA, south-central USA, and southeast USA.",,1,1,0,0,0,0,0,0,0,0,1,https://www.kew.org/data/grasses-db/www/imp00501.htm
338,Andropogon_tracyi,1,0,0,0,Andropogon tracyi,North America: southeast USA.,,1,1,0,0,0,0,0,0,0,0,1,https://www.kew.org/data/grasses-db/www/imp00501.htm
356,Andropogon_virginicus_v._decipiens,1,0,0,0,Andropogon virginicus v. decipiens,Southern United States,,1,1,0,0,0,0,0,0,0,0,1,IRC
201,Anemia_adiantifolia_A01,1,0,0,0,Anemia adiantifolia,"Fla.; Mexico; West Indies in the Antilles, Trinidad; Central America; South America to Ecuador and Brazil.",,1,0,1,1,1,0,1,1,1,1,7,"efloras.org (Flora of China, Flora of North America)"
339,Angadenia_berteroi,1,0,0,0,Angadenia berteroi,Miami-Dade County and Monroe County in Florida and in the West Indies.Ê,,1,0,1,0,0,0,0,0,0,0,1,https://www.wildflower.org/plants/result.php?id_plant=ANBE2
30,Antigonon_leptopus,0,1,0,1,Antigonon leptopus,Native to Mexico (possibly also western Guatemala).,,1,0,0,1,0,0,0,0,0,0,1,http://keyserver.lucidcentral.org/weeds/data/media/Html/antigonon_leptopus.htm
518,Araucaria_heterophylla,0,1,0,0,Araucaria heterophylla,Norfolk Island (Oceania),,1,0,0,0,0,0,0,0,0,1,1,no source needed
31,Ardisia_elliptica,0,1,0,1,Ardisia elliptica,"Native to the Indian Sub-continent (i.e. southernÊIndia andÊSri Lanka) and south-eastern Asia (i.e.ÊTaiwan,ÊCambodia, Thailand, Vietnam,ÊIndonesia,ÊMalaysia,ÊPapua New Guinea and theÊPhilippines).",,1,0,0,0,0,0,0,1,0,0,1,http://keyserver.lucidcentral.org/weeds/data/media/Html/ardisia_elliptica.htm
200,Ardisia_escallonioides,1,0,0,0,Ardisia escallonioides,"Fla.; Mexico; West Indies (Barbados, Bermuda, Cuba, Dominican Republic); Central America (Belize, Guatemala).",,1,0,1,1,0,0,0,0,0,0,2,"efloras.org (Flora of China, Flora of North America)"
275,Argemone_mexicana,1,0,0,0,Argemone mexicana,"Ont.; Ala., Conn., Fla., Ga., Ill., Ind., Kans., La., Md., Mass, Mich., Mo., Nebr., N.J., N.Y., N.C., Pa., S.C., Tenn., Tex., Va.; Mexico; West Indies; Central America.",,1,1,1,1,0,0,0,0,0,0,3,"efloras.org (Flora of China, Flora of North America)"
309,Argythamnia_blodgetti,1,0,0,0,Argythamnia blodgetti,Endemic to South Florida in Miami-Dade and Monroe counties.Ê,,1,0,0,0,0,0,0,0,0,0,0,http://regionalconservation.org/ircs/database/plants/PlantPage.asp?TXCODE=Argyblod
296,Aristida_condensata,1,0,0,0,Aristida condensata,"USA:ÊÊAL, FL, GA, MS, NC, SC",,1,1,0,0,0,0,0,0,0,0,1,http://eol.org/pages/1114753/overview#2738
294,Aristida_patula,1,0,0,0,Aristida patula,North America: southeast USA.,,1,1,0,0,0,0,0,0,0,0,1,Grassbase
293,Aristida_purpurascens,1,0,0,0,Aristida purpurascens,"North America: eastern Canada, north-central USA, northeast USA, south-central USA, southeast USA, and Mexico. South America: Mesoamericana and Caribbean.",,1,1,1,1,0,0,0,0,0,0,3,Grassbase
295,Aristida_stricta,1,0,0,0,Aristida stricta,North America: southeast USA.,,1,1,0,0,0,0,0,0,0,0,1,Grassbase
127,Arnoglossum_ovatum,1,0,0,0,Arnoglossum ovatum,"Ala., Fla., Ga., La., Miss., N.C., S.C., Tex.",,1,1,0,0,0,0,0,0,0,0,1,"efloras.org (Flora of China, Flora of North America)"
308,Asclepias_connivens,1,0,0,0,Asclepias connivens,Native to southern Georgia and Florida. Wunderlin (1998) lists it as occasional in Florida in the central and western panhandle and the northern and central peninsula.Ê,,1,0,0,0,0,0,0,0,0,0,0,http://regionalconservation.org/ircs/database/plants/IRCSpAccount.asp?TXCODE=Asclconn&GENUS=Asclepias&SPECIES=connivens&Author=Baldwin&INFRA1=&INFRA1NAME=&INFRA1AUTHOR=&CommonNames=Largeflower%20milkweed
59,Asclepias_curassavica,0,1,0,0,Asclepias curassavica,"The West Indies, Mexico, Central America and South America; naturalized in Bermuda, the southern United States and the Old World.",,1,0,1,1,1,0,0,0,0,0,3,"efloras.org (Flora of China, Flora of North America)"
340,Asclepias_lanceolata,1,0,0,0,Asclepias lanceolata,Coastal Plain from s.ÊÊNJÊtoÊÊFLÊ& s.e.ÊÊTXÊ,,1,1,0,0,0,0,0,0,0,0,1,https://www.wildflower.org/plants/result.php?id_plant=asla2
300,Asclepias_longifolia,1,0,0,0,Asclepias longifolia,"USA: 	AL, AR, DEExtirpated, FL, GA, LA, MD, MS, NC, SC, TX, VA, WV",,1,1,0,0,0,0,0,0,0,0,1,http://eol.org/pages/586619/overview
297,Asclepias_tuberosa,1,0,0,0,Asclepias tuberosa,"Canada, Lower 48",,1,1,0,0,0,0,0,0,0,0,1,http://eol.org/pages/585598/overview
298,Asclepias_verticillata,1,0,0,0,Asclepias verticillata,"Canada, Lower 48",,1,1,0,0,0,0,0,0,0,0,1,http://eol.org/pages/585598/overview
299,Asclepias_viridis,1,0,0,0,Asclepias viridis,Lower 48 United States of America,,1,1,0,0,0,0,0,0,0,0,1,http://eol.org/pages/585602/overview
43,Asparagus_aethipicus,0,1,0,1,Asparagus aethipicus,South Africa,,1,0,0,0,0,0,1,0,0,0,1,https://plants.ifas.ufl.edu/plant-directory/asparagus-aethiopicus/
207,Astraea_lobata,1,0,0,0,Astraea lobata,"Fla.; Mexico; West Indies; Central America; South America; introduced also in Asia (Arabian Peninsula, India), tropical Africa.",,1,0,1,1,1,0,0,0,0,0,3,"efloras.org (Flora of China, Flora of North America)"
407,Ayenia_euphrasiifolia,1,0,0,0,Ayenia euphrasiifolia,"Peninsular Florida and Cuba, where widespread. I",,1,0,1,0,0,0,0,0,0,0,1,IRC
291,Baccharis_angustifolia,1,0,0,0,Baccharis angustifolia,"USA: 	AL, FL, GA, LA, MS, NC, SC",,1,1,0,0,0,0,0,0,0,0,1,EOL
286,Baccharis_glomeruliflora,1,0,0,0,Baccharis glomeruliflora,"Bermuda, southeastern United States and the West Indies (Cuba, Bahamas).Ê",,1,1,1,0,0,0,0,0,0,0,2,EOL
261,Baccharis_halimifolia,1,0,0,0,Baccharis halimifolia,"N.S.; Ala., Ark., Conn., Del., Fla., Ga., La., Md., Mass., Miss., N.J., N.Y., Okla., Pa., R.I., S.C., Tex., Va.; Mexico (Nuevo Le—n, San Luis Potos’, Tamaulipas, Veracruz); West Indies; introduced in Europe (France), Australia.",,1,1,1,1,0,0,0,0,0,0,3,"efloras.org (Flora of China, Flora of North America)"
287,Bacopa_monnieri,1,0,0,0,Bacopa monnieri,"Africa, Asia, Australasia, North America, Central, South America",,1,1,0,1,1,0,1,1,1,0,6,EOL
519,Balduina_angustifolia,1,0,0,0,Balduina angustifolia,"USA:Ê ALÊ,ÊÊFLÊ,ÊÊGAÊ,ÊÊMSÊ",,1,1,0,0,0,0,0,0,0,0,1,NPIN
15,Bauhinia_variegata,0,1,0,1,Bauhinia variegata,"China, [Cambodia, Laos, Myanmar, Thailand, Vietnam; widely cultivated in the tropics and sub_tropics].",,1,0,0,0,0,0,0,1,0,0,1,"efloras.org (Flora of China, Flora of North America)"
178,Berlandiera_subacaulis,1,0,0,0,Berlandiera subacaulis,Endemic to Florida,,1,0,0,0,0,0,0,0,0,0,0,"efloras.org (Flora of China, Flora of North America)"
328,Bidens_alba,1,0,0,0,Bidens alba,Florida,,1,0,0,0,0,0,0,0,0,0,0,https://www.cabi.org/isc/datasheet/119783
3,Bischofia_javanica,0,1,0,1,Bischofia javanica," introduced; Fla.; s, e Asia; Pacific Islands; Australia; introduced also in s, e Africa.",,1,0,0,0,0,0,0,1,1,1,3,"efloras.org (Flora of China, Flora of North America)"
198,Blechnum_serrulatum,1,0,0,0,Blechnum serrulatum,Fla.; Central America; South America.,,1,0,0,1,1,0,0,0,0,0,2,"efloras.org (Flora of China, Flora of North America)"
208,Bletia_purpurea,1,0,0,0,Bletia purpurea,Fla.; Mexico; West Indies; Central America; South America.,,1,0,1,1,1,0,0,0,0,0,3,"efloras.org (Flora of China, Flora of North America)"
282,Boehmeria_cylindrica,1,0,0,0,Boehmeria cylindrica,"US, Mexico; West Indies; Bermuda; Central America; South America (Argentina, s Brazil, Paraguay, Uruguay, and Venezuela).",,1,1,1,1,1,0,0,0,0,0,4,"efloras.org (Flora of China, Flora of North America)"
52,Bothriochloa_pertusa,0,1,0,0,Bothriochloa pertusa,"China,  [India, Indonesia, Malaysia, Nepal, Pakistan, Thailand, Vietnam",,1,0,0,0,0,0,0,1,0,0,1,CABI
302,Bourreria_cassinifolia,1,0,0,0,Bourreria cassinifolia,"Florida, Cuba",,1,0,1,0,0,0,0,0,0,0,1,http://explorer.natureserve.org/servlet/NatureServe?searchName=Bourreria+cassinifolia
331,Bouteloua_hirsuta,1,0,0,0,Bouteloua hirsuta,US and Mexico,,1,1,0,1,0,0,0,0,0,0,2,https://www.fs.fed.us/database/feis/plants/graminoid/bouhir/all.html
530,Brickellia_mosieri,1,0,1,0,Brickellia mosieri,PR_endemic,,1,0,0,0,0,0,0,0,0,0,0,IRC
405,Buchnera_americana,1,0,0,0,Buchnera americana,"Eastern North America, the West Indies, southern Mexico, Central America and South America (Trinidad).",,1,1,1,1,1,0,0,0,0,0,4,IRC
325,Bucida_buceras,0,1,0,0,Bucida buceras,"ÊBahamas, Cuba, Guadeloupe, Haiti, Jamaica, Puerto Rico",,1,0,1,0,0,0,0,0,0,0,1,https://web.archive.org/web/20130519084315/http://www.worldagroforestrycentre.org/sea/products/afdbases/af/asp/SpeciesInfo.asp?SpID=18011
126,Bulbostylis_barbata,0,1,0,0,Bulbostylis barbata,"Ala., Fla., Ga., La., Miss., N.C., S.C., Tenn., Tex.; West Indies (Martinique); Central America; tropical Africa (including Madagascar); tropical Asia (including Indonesia); tropical Atlantic Islands; Indian Ocean Islands; tropical Pacific Islands; tropical Australia.",,1,0,0,0,0,0,0,0,1,0,1,"efloras.org (Flora of China, Flora of North America)"
272,Bulbostylis_ciliatafolia,1,0,0,0,Bulbostylis ciliatafolia,"North America, West Indies (Cuba).",,1,1,1,0,0,0,0,0,0,0,2,"efloras.org (Flora of China, Flora of North America)"
72,Bulbostylis_stenophylla,1,0,0,0,Bulbostylis stenophylla,"ÊFla., Ga., N.C., S.C.; West Indies (Cuba).",,1,1,1,0,0,0,0,0,0,0,2,"efloras.org (Flora of China, Flora of North America)"
402,Bursera_simaruba,1,0,0,0,Bursera simaruba,"Monroe County Keys north, mostly along the coast, to Brevard, Pinellas and Hillsbrough counties; West Indies, Mexico, Central America and northern South America.Ê",,1,0,1,1,1,0,0,0,0,0,3,IRC
228,Byrsonima_lucida,1,0,0,0,Byrsonima lucida,"Fla.; West Indies (Bahamas, Greater Antilles, Lesser Antilles, Virgin Islands).",,1,0,1,0,0,0,0,0,0,0,1,"efloras.org (Flora of China, Flora of North America)"
303,Caesalpinia_pauciflora,1,0,0,0,Caesalpinia pauciflora,"Florida Keys, West Indies, Cuba, Hispaniola.",,1,0,1,0,0,0,0,0,0,0,1,http://explorer.natureserve.org/servlet/NatureServe?searchName=Caesalpinia+pauciflora
264,Cajanus_cajan,0,1,0,0,Cajanus cajan,Native of Tropical Africa,,1,0,0,0,0,0,0,1,0,0,1,"efloras.org (Flora of China, Flora of North America)"
306,Callicarpa_americana,1,0,0,0,Callicarpa americana,United States,,1,1,0,0,0,0,0,0,0,0,1,http://explorer.natureserve.org/servlet/NatureServe?sourceTemplate=tabular_report.wmt&loadTemplate=species_RptComprehensive.wmt&selectedReport=RptComprehensive.wmt&summaryView=tabular_report.wmt&elKey=159835&paging=home&save=true&startIndex=1&nextStartIndex=1&reset=false&offPageSelectedElKey=159835&offPageSelectedElType=species&offPageYesNo=true&post_processes=&radiobutton=radiobutton&selectedIndexes=159835
21,Callisia_fragrans,0,1,0,1,Callisia fragrans,"Fla.; native, Mexico.",,1,0,0,1,0,0,0,0,0,0,1,"efloras.org (Flora of China, Flora of North America)"
320,Canavalia_brasiliensis,0,1,0,0,Canavalia brasiliensis,"(a) Central America, Mexico and the Caribbean, (b) Paraguay, northeast Argentina and southern Brazil, and (c) northeast Brazil.",,1,0,1,1,1,0,0,0,0,0,3,http://www.tropicalforages.info/key/forages/Media/Html/entities/canavalia_brasiliensis.htm
310,Capraria_biflora,1,0,0,0,Capraria biflora,"S. America - Argentina, Bolivia, Peru, Ecuador, Colombia, Venezuela, the Guyanas; C. America - Panama to Mexico; through the Caribbean to Florida.",,1,0,1,1,1,0,0,0,0,0,3,http://tropical.theferns.info/viewtropical.php?id=Capraria+biflora
333,Cardiospermum_microcarpum,1,0,0,0,Cardiospermum microcarpum,"Caribbean, north America",,1,1,1,0,0,0,0,0,0,0,2,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=28668#null
315,Carica_papaya,1,0,0,0,Carica papaya,native to lowland tropical areas of Central and South America,,1,0,0,1,1,0,0,0,0,0,2,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=d374
179,Cassytha_filiformis,1,0,0,0,Cassytha filiformis,Endemic to Florida,,1,0,0,0,0,0,0,0,0,0,0,"efloras.org (Flora of China, Flora of North America)"
180,Catesbaea_parviflora,1,0,0,0,Catesbaea parviflora,Endemic to Florida,,1,0,0,0,0,0,0,0,0,0,0,"efloras.org (Flora of China, Flora of North America)"
266,Catharanthus_roseus,0,1,0,0,Catharanthus roseus,"native to Madagascar,Ê",,1,0,0,0,0,0,1,0,0,0,1,"efloras.org (Flora of China, Flora of North America)"
50,Cecropia_palmata,0,1,0,1,Cecropia palmata,"ranges from southern Mexico through Central America to northern South America, Trinidad and Tobago, and Jamaica, and has been introduced in Africa, Asia and the Pacific.",,1,0,0,1,1,0,0,0,0,0,2,https://www.jstor.org/stable/4393938?seq=1#page_scan_tab_contents
354,Cenchrus_echinatus,1,0,0,0,Cenchrus echinatus,"Southern United States, the West Indies, Mexico, Central America and South America.Ê",,1,1,1,1,1,0,0,0,0,0,4,IRC
334,Cenchrus_gracillimus,1,0,0,0,Cenchrus gracillimus,"Caribbean, north America",,1,1,1,0,0,0,0,0,0,0,2,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=40576#null
355,Cenchrus_incertus,1,0,0,0,Cenchrus incertus,"Southeastern United States, the West Indies, Mexico, Central America and South America.Ê",,1,1,1,1,1,0,0,0,0,0,4,IRC
162,Centella_asiatica,1,0,0,0,Centella asiatica,"China,  [widespread throughout tropical and subtropical countries worldwide,",,1,0,0,0,0,0,0,1,0,0,1,"efloras.org (Flora of China, Flora of North America)"
317,Centrosema_virginianum,1,0,0,0,Centrosema virginianum,"Central and southern United States west to Texas and south to the Monroe County Keys; West Indies, southern Mexico, Central America and South America.",,1,1,1,1,1,0,0,0,0,0,4,http://www.regionalconservation.org/beta/nfyn/plantdetail.asp?tx=centvirg
526,Chamaecrista_deeringiana,1,0,0,0,Chamaecrista deeringiana,FL endemic,,1,0,0,0,0,0,0,0,0,0,0,IRC
316,Chamaecrista_fasciculata,1,0,0,0,Chamaecrista fasciculata,"Eastern, central, and southeastern United States",,1,1,0,0,0,0,0,0,0,0,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=280578&isprofile=0&=
531,Chamaecrista_lineata,1,0,1,0,Chamaecrista lineata,PR_endemic,,1,0,0,0,0,0,0,0,0,0,0,IRC
323,Chamaecrista_nictitans_v._aspera,1,0,0,0,Chamaecrista nictitans v. aspera,North america,,1,1,0,0,0,0,0,0,0,0,1,https://books.google.com/books?id=d8fIDN3GrvQC&pg=PA557&lpg=PA557&dq=Chamaecrista+nictitans+v.+aspera&source=bl&ots=bwWXn_erGm&sig=W2ThGUN0DQ-17NUDPFFG4RRtLG8&hl=en&sa=X&ved=0ahUKEwig3sj8kfHYAhUIu1MKHcGtCq4Q6AEIZzAR#v=onepage&q=Chamaecrista%20nictitans%20v.%20aspera&f=false
304,Chamaesyce_blodgettii,1,0,0,0,Chamaesyce blodgettii,"South peninsula of Florida, the Keys, West Indies",,1,0,1,0,0,0,0,0,0,0,1,http://explorer.natureserve.org/servlet/NatureServe?searchName=Chamaesyce+blodgettii
283,Chamaesyce_conferta,1,0,0,0,Chamaesyce conferta,Endemic to South Florida,,1,0,0,0,0,0,0,0,0,0,0,Endemic to South Florida
532,Chamaesyce_deltoidea,1,0,1,0,Chamaesyce deltoidea,PR_endemic,,1,0,0,0,0,0,0,0,0,0,0,IRC
533,Chamaesyce_deltoidea_ssp._adhaerens,1,0,1,0,Chamaesyce deltoidea ssp. adhaerens,PR_endemic,,1,0,0,0,0,0,0,0,0,0,0,IRC
