Names,SoFla_endemic,PR_endemic,FLEPPCall_2017,Native,NonNative
Abildgaardia_ovata,0,0,0,1,0
Abrus_precatorius,0,0,1,0,1
Acacia_auriculformis,0,0,1,0,1
Acalypha_chamaedrifolia,0,0,0,1,0
Aeschynomene_viscidula,0,0,0,1,0
Agalinis_fasciculata,0,0,0,1,0
Agalinis_obtusifolia,0,0,0,1,0
Agave_sisalana,0,0,1,0,1
Albizia_lebbeck,0,0,1,0,1
Aletris_lutea,0,0,0,1,0
Alternathera_flavescens,0,0,0,1,0
Alvaradoa_amorphoides,0,0,0,1,0
Alysicarpus_vaginalis,0,0,0,0,1
Ambrosia_artemisiifolia,0,0,0,1,0
Amorpha_herbacea_v._crenulata,1,1,0,1,0
Ampelopsis_arborea,0,0,0,1,0
Andropogon_glomeratus,0,0,0,1,0
Andropogon_gyrans,0,0,0,1,0
Andropogon_longiberbis,0,0,0,1,0
Andropogon_ternarius,0,0,0,1,0
Andropogon_tracyi,0,0,0,1,0
Andropogon_virginicus_v._decipiens,0,0,0,1,0
Anemia_adiantifolia_A01,0,0,0,1,0
Angadenia_berteroi,0,0,0,1,0
Antigonon_leptopus,0,0,1,0,1
Araucaria_heterophylla,0,0,0,0,1
Ardisia_elliptica,0,0,1,0,1
Ardisia_escallonioides,0,0,0,1,0
Argemone_mexicana,0,0,0,1,0
Argythamnia_blodgetti,1,0,0,1,0
Aristida_condensata,0,0,0,1,0
Aristida_patula,0,0,0,1,0
Aristida_purpurascens,0,0,0,1,0
Aristida_stricta,0,0,0,1,0
Arnoglossum_ovatum,0,0,0,1,0
Asclepias_connivens,0,0,0,1,0
Asclepias_curassavica,0,0,0,0,1
Asclepias_lanceolata,0,0,0,1,0
Asclepias_longifolia,0,0,0,1,0
Asclepias_tuberosa,0,0,0,1,0
Asclepias_verticillata,0,0,0,1,0
Asclepias_viridis,0,0,0,1,0
Asparagus_aethipicus,0,0,1,0,1
Astraea_lobata,0,0,0,1,0
Ayenia_euphrasiifolia,0,0,0,1,0
Baccharis_angustifolia,0,0,0,1,0
Baccharis_glomeruliflora,0,0,0,1,0
Baccharis_halimifolia,0,0,0,1,0
Bacopa_monnieri,0,0,0,1,0
Balduina_angustifolia,0,0,0,1,0
Bauhinia_variegata,0,0,1,0,1
Berlandiera_subacaulis,0,0,0,1,0
Bidens_alba,0,0,0,1,0
Bischofia_javanica,0,0,1,0,1
Blechnum_serrulatum,0,0,0,1,0
Bletia_purpurea,0,0,0,1,0
Boehmeria_cylindrica,0,0,0,1,0
Bothriochloa_pertusa,0,0,0,0,1
