540_Names,Very_large,Large,Medium,Order,Full_Tree,PR_endemic,FLEPPCall_2017,NonNative,Full_Tree,Florida,USCan_notFL,Caribbean, Central_America,South_America,Europe ,Africa,Asia ,Australasia,Oceania
Abildgaardia_ovata,4,4,4,14,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1
Abrus_precatorius,7,7,9,28,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0
Acacia_auriculformis,7,7,9,28,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0
Acalypha_chamaedrifolia,7,7,9,30,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Aeschynomene_viscidula,7,7,9,28,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Agalinis_fasciculata,6,6,8,24,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
Agalinis_obtusifolia,6,6,8,24,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Agave_sisalana,4,4,4,10,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0
Albizia_lebbeck,7,7,9,28,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0
Aletris_lutea,4,4,4,12,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Alternathera_flavescens,6,5,5,15,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0
Alvaradoa_amorphoides,7,7,10,39,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0
Alysicarpus_vaginalis,7,7,9,28,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1
Ambrosia_artemisiifolia,6,6,6,19,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Amorpha_herbacea_v._crenulata,7,7,9,28,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Ampelopsis_arborea,7,7,9,34,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Andropogon_glomeratus,4,4,4,14,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0
Andropogon_gyrans,4,4,4,14,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0
Andropogon_longiberbis,4,4,4,14,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Andropogon_ternarius,4,4,4,14,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Andropogon_tracyi,4,4,4,14,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Andropogon_virginicus_v._decipiens,4,4,4,14,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Anemia_adiantifolia_A01,2,1,1,4,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1
Angadenia_berteroi,6,6,8,23,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Antigonon_leptopus,7,7,9,28,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0
Araucaria_heterophylla,1,2,2,6,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1
Ardisia_elliptica,6,6,7,20,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0
Ardisia_escallonioides,6,6,7,20,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0
Argemone_mexicana,5,5,5,16,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
Argythamnia_blodgetti,7,7,9,30,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Aristida_condensata,4,4,4,14,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Aristida_patula,4,4,4,14,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Aristida_purpurascens,4,4,4,14,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
Aristida_stricta,4,4,4,14,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Arnoglossum_ovatum,6,6,6,19,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Asclepias_connivens,6,6,8,23,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Asclepias_curassavica,6,6,8,23,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0
Asclepias_lanceolata,6,6,8,23,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Asclepias_longifolia,6,6,8,23,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Asclepias_tuberosa,6,6,8,23,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Asclepias_verticillata,6,6,8,23,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Asclepias_viridis,6,6,8,23,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Asparagus_aethipicus,4,4,4,10,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0
Astraea_lobata,7,7,9,30,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0
Ayenia_euphrasiifolia,7,7,10,37,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Baccharis_angustifolia,6,6,6,19,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Baccharis_glomeruliflora,6,6,6,19,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
Baccharis_halimifolia,6,6,6,19,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
Bacopa_monnieri,6,6,8,24,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0
Balduina_angustifolia,6,6,6,19,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Bauhinia_variegata,7,7,9,28,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0
Berlandiera_subacaulis,6,6,6,19,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Bidens_alba,6,6,6,19,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Bischofia_javanica,7,7,9,30,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1
Blechnum_serrulatum,2,1,1,2,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0
Bletia_purpurea,4,4,4,10,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0
Boehmeria_cylindrica,7,7,9,32,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0
Bothriochloa_pertusa,4,4,4,14,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0
Bourreria_cassinifolia,6,6,8,22,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Bouteloua_hirsuta,4,4,4,14,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0
Brickellia_mosieri,6,6,6,19,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Buchnera_americana,6,6,8,24,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0
Bucida_buceras,7,7,10,38,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0
Bulbostylis_barbata,4,4,4,14,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0
Bulbostylis_ciliatafolia,4,4,4,14,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
Bulbostylis_stenophylla,4,4,4,14,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
Bursera_simaruba,7,7,10,40,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0
Byrsonima_lucida,7,7,9,30,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Caesalpinia_pauciflora,7,7,9,28,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Cajanus_cajan,7,7,9,28,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0
Callicarpa_americana,6,6,8,24,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Callisia_fragrans,4,4,4,11,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0
Canavalia_brasiliensis,7,7,9,28,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0
Capraria_biflora,6,6,8,24,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0
Cardiospermum_microcarpum,7,7,10,40,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
Carica_papaya,7,7,10,36,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0
Cassytha_filiformis,3,3,3,7,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Catesbaea_parviflora,6,6,8,23,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Catharanthus_roseus,6,6,8,23,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0
